DATA,ALBUFEIRA DA BEMPOSTA (R.E.) (06S/01A),,ALBUFEIRA DA BOUÇÃ (R.E.) (14H/01A),,ALBUFEIRA DA VALEIRA (R.E.) (07M/02A),,
01/08/2010 00:00,305337.6,(vc),35462.02,(vc),393349.82,(vc),
01/09/2010 00:00,453392.64,(vc),33566.4,(vc),405777.6,(vc),
01/10/2010 00:00,348540.19,(vc),23328.86,(vc),344281.54,(vc),
01/11/2010 00:00,319645.44,(vc),103135.68,(vc),451033.92,(vc),
01/12/2010 00:00,755496.29,(vc),161936.06,(vc),1323263.52,(vc),
01/01/2011 00:00,1409266.94,(vc),421098.05,(vc),2409327.94,(vc),
01/02/2011 00:00,694552.32,(vc),207156.1,(vc),1222687.87,(vc),
01/03/2011 00:00,958224.38,(vc),184327.49,(vc),1397401.63,(vc),
01/04/2011 00:00,901523.52,(vc),134447.04,(vc),1190272.32,(vc),
01/05/2011 00:00,604220.26,(vc),212102.5,(vc),817206.62,(vc),
01/06/2011 00:00,258085.44,(vc),106116.48,(vc),343647.36,(vc),
01/07/2011 00:00,191880.58,(vc),96931.3,(vc),290633.18,(vc),
01/08/2011 00:00,243573.7,(vc),103600.51,(vc),264759.84,(vc),
01/09/2011 00:00,360573.12,(vc),31752,(vc),407825.28,(vc),
01/10/2011 00:00,368012.16,(vc),40899.17,(vc),501825.02,(vc),
01/11/2011 00:00,466067.52,(vc),49066.56,(vc),762981.12,(vc),
01/12/2011 00:00,370717.34,(vc),76039.78,(vc),632129.18,(vc),
01/01/2012 00:00,129206.02,(vc),62594.21,(vc),360218.02,(vc),
01/02/2012 00:00,116535.46,(vc),36456.48,(vc),240036.48,(vc),
01/03/2012 00:00,262617.12,(vc),8142.34,(vc),356628.96,(vc),
01/04/2012 00:00,211325.76,(vc),11741.76,(vc),253679.04,(vc),
01/05/2012 00:00,262670.69,(vc),18936.29,(vc),403420.61,(vc),
01/06/2012 00:00,223015.68,(vc),17444.16,(vc),406529.28,(vc),
01/07/2012 00:00,166516.13,(vc),9990.43,(vc),226190.88,(vc),
01/08/2012 00:00,164319.84,(vc),13499.14,(vc),217325.38,(vc),
01/09/2012 00:00,136468.8,(vc),29989.44,(vc),177059.52,(vc),
01/10/2012 00:00,181890.14,(vc),28069.63,(vc),384805.73,(vc),
01/11/2012 00:00,378613.44,(vc),97096.32,(vc),662929.92,(vc),
01/12/2012 00:00,321595.49,(vc),143240.83,(vc),540608.26,(vc),
01/01/2013 00:00,451122.91,(vc),155909.66,(vc),868390.85,(vc),
01/02/2013 00:00,623645.57,(vc),207277.06,(vc),929698.56,(vc),
01/04/2013 00:00,2017094.4,(vc),360702.72,(vc),2302344,(vc),
01/06/2013 00:00,415912.32,(vc),156919.68,(vc),451163.52,(vc),
01/08/2013 00:00,309007.01,(vc),9267.26,(vc),467916.48,(vc),
01/09/2013 00:00,370241.28,(vc),72964.8,(vc),492609.6,(vc),
01/10/2013 00:00,501932.16,(vc),60826.46,(vc),605505.89,(vc),
01/12/2013 00:00,406902.53,(vc),94788.58,(vc),678063.74,(vc),
01/01/2014 00:00,1257589.15,(vc),230369.18,(vc),2066332.03,(vc),
01/02/2014 00:00,2426651.14,(vc),642321.79,(vc),3752759.81,(vc),
01/04/2014 00:00,1519689.6,(vc),261610.56,(vc),2115720,(vc),
01/07/2014 00:00,274482.43,(vc),98324.06,(vc),310372.99,(vc),
01/10/2014 00:00,366431.9,(vc),38488.61,(vc),,,
01/11/2014 00:00,383045.76,(vc),96422.4,(vc),559975.68,(vc),
01/12/2014 00:00,624361.82,(vc),163891.3,(vc),901924.42,(vc),
01/01/2015 00:00,547438.18,(vc),160811.14,(vc),711972.29,(vc),
01/02/2015 00:00,958874.11,(vc),97832.45,(vc),987178.75,(vc),
01/03/2015 00:00,1038978.14,(vc),,,,,
01/04/2015 00:00,735687.36,(vc),,,,,
01/05/2015 00:00,620103.17,(vc),,,,,
01/06/2015 00:00,298753.92,(vc),68143.68,(vc),486984.96,(vc),
01/07/2015 00:00,209450.88,(vc),77057.57,(vc),,,
01/08/2015 00:00,233958.24,(vc),26971.49,(vc),338255.14,(vc),
01/09/2015 00:00,287193.6,(vc),21928.32,(vc),446186.88,(vc),
01/10/2015 00:00,341737.06,(vc),21480.77,(vc),488084.83,(vc),
01/11/2015 00:00,366949.44,(vc),25090.56,(vc),587113.92,(vc),
01/12/2015 00:00,317765.38,(vc),31390.85,(vc),382529.09,(vc),
01/01/2016 00:00,1342360.51,(vc),173479.97,(vc),1844587.3,(vc),
01/02/2016 00:00,1473818.98,(vc),266896.51,(vc),1929362.11,(vc),
01/04/2016 00:00,2465873.28,(vc),204275.52,(vc),3423228.48,(vc),
01/05/2016 00:00,1748004.19,(vc),429160.03,(vc),2501357.76,(vc),
01/06/2016 00:00,495694.08,(vc),,,,,
01/07/2016 00:00,282115.87,(vc),33613.92,(vc),,,
